project_id,api_key_id,day,metric,value
__coverage__,__coverage__,2025-12-04,__coverage__,0.0
__coverage__,__coverage__,2025-12-05,__coverage__,0.0
__coverage__,__coverage__,2025-12-06,__coverage__,0.0
__coverage__,__coverage__,2025-12-07,__coverage__,0.0
__coverage__,__coverage__,2025-12-08,__coverage__,0.0
proj_K99WSHxcerlphiCqIK410InW,key_IDZ29vemvUiJxU1M,2025-12-08,input_text_tokens,30.0
proj_K99WSHxcerlphiCqIK410InW,key_IDZ29vemvUiJxU1M,2025-12-08,input_tokens,30.0
proj_K99WSHxcerlphiCqIK410InW,key_IDZ29vemvUiJxU1M,2025-12-08,input_uncached_tokens,30.0
proj_K99WSHxcerlphiCqIK410InW,key_IDZ29vemvUiJxU1M,2025-12-08,num_model_requests,2.0
proj_K99WSHxcerlphiCqIK410InW,key_IDZ29vemvUiJxU1M,2025-12-08,output_text_tokens,3251.0
proj_K99WSHxcerlphiCqIK410InW,key_IDZ29vemvUiJxU1M,2025-12-08,output_tokens,3251.0
__coverage__,__coverage__,2025-12-09,__coverage__,0.0
__coverage__,__coverage__,2025-12-10,__coverage__,0.0
__coverage__,__coverage__,2025-12-11,__coverage__,0.0
__coverage__,__coverage__,2025-12-12,__coverage__,0.0
__coverage__,__coverage__,2025-12-13,__coverage__,0.0
__coverage__,__coverage__,2025-12-14,__coverage__,0.0
__coverage__,__coverage__,2025-12-15,__coverage__,0.0
__coverage__,__coverage__,2025-12-16,__coverage__,0.0
__coverage__,__coverage__,2025-12-17,__coverage__,0.0
__coverage__,__coverage__,2025-12-18,__coverage__,0.0
__coverage__,__coverage__,2025-12-19,__coverage__,0.0
__coverage__,__coverage__,2025-12-20,__coverage__,0.0
__coverage__,__coverage__,2025-12-21,__coverage__,0.0
__coverage__,__coverage__,2025-12-22,__coverage__,0.0
__coverage__,__coverage__,2025-12-23,__coverage__,0.0
__coverage__,__coverage__,2025-12-24,__coverage__,0.0
__coverage__,__coverage__,2025-12-25,__coverage__,0.0
__coverage__,__coverage__,2025-12-26,__coverage__,0.0
__coverage__,__coverage__,2025-12-27,__coverage__,0.0
__coverage__,__coverage__,2025-12-28,__coverage__,0.0
__coverage__,__coverage__,2025-12-29,__coverage__,0.0
__coverage__,__coverage__,2025-12-30,__coverage__,0.0
